x,y
2.21,32.21
55.28,85.28
74.87,104.87
42.57,72.57
10.54,40.54
68.74,98.74
99.98,129.98
35.14,65.14
79.73,109.73
95.77,125.77
81.03,111.03
26.37,56.37
97.06,127.06
90.27,120.27
84.43,114.43
77.12,107.12
78.68,108.68
60.29,90.29
11.58,41.58
47.52,77.52
50.02,80.02
95.5,125.5
43.9,73.9
50.31,80.31
57.4,87.4
41.27,71.27
52.73,82.73
97.37,127.37
87.18,117.18
0.27,30.27
32.53,62.53
94.39,124.39
29.47,59.47
20.24,50.24
4.56,34.56
38.65,68.65
63.17,93.17
12.77,42.77
14.36,44.36
71.92,101.92
35.96,65.96
54.82,84.82
30.31,60.31
70.58,100.58
46.53,76.53
83.62,113.62
10.5,40.5
27.9,57.9
46.54,76.54
48.49,78.49
53.57,83.57
19.56,49.56
81.2,111.2
55.46,85.46
94.19,124.19
56.27,86.27
80.51,110.51
67.37,97.37
31.71,61.71
93.04,123.04
42.11,72.11
33.56,63.56
4.44,34.44
8.21,38.21
90.51,120.51
27.26,57.26
29.63,59.63
52.43,82.43
73.07,103.07
1.79,31.79
28.08,58.08
51.24,81.24
47.53,77.53
79.66,109.66
15.43,45.43
39.1,69.1
48,78
2.19,32.19
16.43,46.43
47.88,77.88
24.64,54.64
57.88,87.88
34.97,64.97
4.03,34.03
10.94,40.94
36.51,66.51
74.16,104.16
25.29,55.29
59.63,89.63
2.42,32.42
61.17,91.17
0.02,30.02
82.24,112.24
84.95,114.95
38.16,68.16
29.66,59.66
84.26,114.26
37.3,67.3
47.88,77.88
99.07,129.07
5.35,35.35
91.88,121.88
66.92,96.92
51.63,81.63
86.92,116.92
91.78,121.78
