x,y
34.71,144.13
5.69,57.07
48.59,185.77
48.1,184.3
30.71,132.13
68.56,245.68
22.53,107.59
16.95,90.85
27.59,122.77
65.14,235.42
75.78,267.34
33.86,141.58
98.93,336.79
83.61,290.83
93.15,319.45
35.08,145.24
83.79,291.37
52.03,196.09
23.64,110.92
18.22,94.66
74.06,262.18
50.25,190.75
21.37,104.11
61.15,223.45
99.61,338.83
96.95,330.85
43.05,169.15
89.28,307.84
79.99,279.97
59.69,219.07
0.52,41.56
49.77,189.31
89.25,307.75
25.92,117.76
81.92,285.76
61.39,224.17
29.09,127.27
23.31,109.93
56.87,210.61
74.59,263.77
11.8,75.4
33.64,140.92
99.49,338.47
1.85,45.55
88.99,306.97
90.98,312.94
59.23,217.69
47.73,183.19
85.64,296.92
30.41,131.23
20.02,100.06
68.23,244.69
15.82,87.46
80.29,280.87
59.94,219.82
92.82,318.46
59.14,217.42
25.35,116.05
71.64,254.92
19.97,99.91
89.04,307.12
53.43,200.29
67.84,243.52
54.76,204.28
15.45,86.35
41.74,165.22
30.68,132.04
68.71,246.13
76.58,269.74
64.96,234.88
47.73,183.19
92.55,317.65
81.52,284.56
51.35,194.05
56.53,209.59
51.51,194.53
59.01,217.03
16.29,88.87
52.83,198.49
97.68,333.04
46.83,180.49
0.02,40.06
26.76,120.28
2.94,48.82
87.1,301.3
36.9,150.7
62.84,228.52
16.87,90.61
5.03,55.09
43.45,170.35
38.04,154.12
76.77,270.31
74.6,263.8
40.12,160.36
49.06,187.18
94.95,324.85
74.31,262.93
54.58,203.74
86.95,300.85
55.69,207.07
22.24,106.72
39.13,157.39
60.57,221.71
18.3,94.9
38.32,154.96
55.98,207.94
13.06,79.18
38.17,154.51
95.59,326.77
18.62,95.86
91.96,315.88
21.7,105.1
81.25,283.75
42.63,167.89
70.76,252.28
11.34,74.02
13.05,79.15
48.79,186.37
86.88,300.64
27.5,122.5
88.77,306.31
64.06,232.18
85.27,295.81
81.98,285.94
84.58,293.74
98.89,336.67
34.99,144.97
92.73,318.19
0.75,42.25
8.61,65.83
19.1,97.3
41.42,164.26
47.89,183.67
83.85,291.55
23.87,111.61
88.54,305.62
94.6,323.8
19.56,98.68
54.48,203.44
67.85,243.55
24.27,112.81
78.18,274.54
51.03,193.09
33.42,140.26
77.69,273.07
40.97,162.91
4.75,54.25
25.01,115.03
11.52,74.56
34.4,143.2
13.79,81.37
6.27,58.81
44,172
83.26,289.78
49.88,189.64
73.05,259.15
52.12,196.36
66.38,239.14
87.42,302.26
3.08,49.24
97.34,332.02
31.67,135.01
66.59,239.77
45.21,175.63
41.9,165.7
76.28,268.84
1.57,44.71
42.25,166.75
43.9,171.7
3.74,51.22
5.85,57.55
12.12,76.36
96.69,330.07
10.84,72.52
63.15,229.45
62.55,227.65
42.63,167.89
28.87,126.61
40.33,160.99
54.09,202.27
18.21,94.63
5.68,57.04
85.82,297.46
17.38,92.14
81.55,284.65
77.85,273.55
84.33,292.99
20.7,102.1
84.73,294.19
86.17,298.51
10.73,72.19
71.83,255.49
29.03,127.09
66.88,240.64
98.13,334.39
30.52,131.56
75.67,267.01
34.35,143.05
89.94,309.82
95.53,326.59
25.2,115.6
40.27,160.81
33.58,140.74
63.6,230.8
90.24,310.72
70.81,252.43
65.9,237.7
5.06,55.18
72.71,258.13
14.98,84.94
25.67,117.01
32.04,136.12
37.97,153.91
47.47,182.41
90.41,311.23
7.68,63.04
65.44,236.32
33.96,141.88
79.75,279.25
72.74,258.22
69.83,249.49
29.13,127.39
81.07,283.21
9.39,68.17
54.28,202.84
58.15,214.45
47.87,183.61
29.2,127.6
23.84,111.52
69.13,247.39
9.92,69.76
84.33,292.99
69.75,249.25
63.33,229.99
50.3,190.9
7.43,62.29
21.08,103.24
63.42,230.26
6.04,58.12
88.8,306.4
10.57,71.71
14.86,84.58
38.78,156.34
8.6,65.8
3.05,49.15
79.64,278.92
61.74,225.22
47.51,182.53
37.02,151.06
22.32,106.96
10.91,72.73
97.4,332.2
97.81,333.43
46.23,178.69
84.68,294.04
56.35,209.05
87.88,303.64
11.47,74.41
74.44,263.32
24.04,112.12
85.92,297.76
95.47,326.41
50.51,191.53
79.61,278.83
56.65,209.95
10.18,70.54
94.11,322.33
16.84,90.52
1.32,43.96
35.24,145.72
76.5,269.5
49.7,189.1
84.58,293.74
2.58,47.74
28.05,124.15
39.27,157.81
1.26,43.78
37.45,152.35
26.01,118.03
72.33,256.99
8.92,66.76
95.21,325.63
12.96,78.88
47.92,183.76
20.09,100.27
74.33,262.99
36.15,148.45
83.59,290.77
5.37,56.11
98.97,336.91
85.91,297.73
95.38,326.14
85.64,296.92
56.06,208.18
96.89,330.67
83.93,291.79
48.8,186.4
22.27,106.81
95.58,326.74
56.49,209.47
92.03,316.09
66.49,239.47
39.22,157.66
17.98,93.94
1,43
80.5,281.5
82.88,288.64
57.92,213.76
68.9,246.7
38.65,155.95
20.49,101.47
58.1,214.3
38.99,156.97
41.65,164.95
82,286
33.81,141.43
23.62,110.86
75.76,267.28
40.42,161.26
30.84,132.52
76.73,270.19
7.81,63.43
66.31,238.93
70.76,252.28
16.91,90.73
8.16,64.48
72.52,257.56
28.13,124.39
70.97,252.91
54.46,203.38
61.94,225.82
45.47,176.41
90.78,312.34
66.08,238.24
12.35,77.05
17.23,91.69
71.21,253.63
61.22,223.66
50.62,191.86
26.52,119.56
57.46,212.38
28.74,126.22
10.49,71.47
62.11,226.33
79.2,277.6
73.06,259.18
19.01,97.03
15.35,86.05
98.03,334.09
19.43,98.29
57.18,211.54
28.71,126.13
56.17,208.51
12.66,77.98
35.83,147.49
73.95,261.85
96.68,330.04
13.12,79.36
72.84,258.52
80.36,281.08
29.96,129.88
41.51,164.53
51.54,194.62
81.96,285.88
74.14,262.42
10.89,72.67
68.18,244.54
2.46,47.38
51.99,195.97
11.65,74.95
75.74,267.22
80.32,280.96
96.6,329.8
66.52,239.56
18.28,94.84
66.88,240.64
66.37,239.11
94.67,324.01
56.35,209.05
74.57,263.71
59.22,217.66
52.15,196.45
46.6,179.8
60.24,220.72
75.58,266.74
47.49,182.47
96.21,328.63
20.45,101.35
39.1,157.3
29.27,127.81
8.94,66.82
97.54,332.62
13.4,80.2
26.77,120.31
85.95,297.85
11.91,75.73
65.8,237.4
41.47,164.41
77.07,271.21
2.25,46.75
21.29,103.87
97.15,331.45
33.93,141.79
90.07,310.21
1.9,45.7
59.48,218.44
18.54,95.62
36.23,148.69
86.61,299.83
28.96,126.88
15.98,87.94
58.71,216.13
45.96,177.88
90.77,312.31
72.45,257.35
40.83,162.49
40.26,160.78
7.74,63.22
42.5,167.5
6.2,58.6
40.97,162.91
57.38,212.14
81.44,284.32
2.14,46.42
47.76,183.28
82.71,288.13
97.74,333.22
57.87,213.61
99.5,338.5
77.02,271.06
39.36,158.08
2.21,46.63
55.28,205.84
74.87,264.61
42.57,167.71
10.54,71.62
68.74,246.22
99.98,339.94
35.14,145.42
79.73,279.19
95.77,327.31
81.03,283.09
26.37,119.11
97.06,331.18
90.27,310.81
84.43,293.29
77.12,271.36
78.68,276.04
60.29,220.87
11.58,74.74
47.52,182.56
50.02,190.06
95.5,326.5
43.9,171.7
50.31,190.93
57.4,212.2
41.27,163.81
52.73,198.19
97.37,332.11
87.18,301.54
0.27,40.81
32.53,137.59
94.39,323.17
29.47,128.41
20.24,100.72
4.56,53.68
38.65,155.95
63.17,229.51
12.77,78.31
14.36,83.08
71.92,255.76
35.96,147.88
54.82,204.46
30.31,130.93
70.58,251.74
46.53,179.59
83.62,290.86
10.5,71.5
27.9,123.7
46.54,179.62
48.49,185.47
53.57,200.71
19.56,98.68
81.2,283.6
55.46,206.38
94.19,322.57
56.27,208.81
80.51,281.53
67.37,242.11
31.71,135.13
93.04,319.12
42.11,166.33
33.56,140.68
4.44,53.32
8.21,64.63
90.51,311.53
27.26,121.78
29.63,128.89
52.43,197.29
73.07,259.21
1.79,45.37
28.08,124.24
51.24,193.72
47.53,182.59
79.66,278.98
15.43,86.29
39.1,157.3
48,184
2.19,46.57
16.43,89.29
47.88,183.64
24.64,113.92
57.88,213.64
34.97,144.91
4.03,52.09
10.94,72.82
36.51,149.53
74.16,262.48
25.29,115.87
59.63,218.89
2.42,47.26
61.17,223.51
0.02,40.06
82.24,286.72
84.95,294.85
38.16,154.48
29.66,128.98
84.26,292.78
37.3,151.9
47.88,183.64
99.07,337.21
5.35,56.05
91.88,315.64
66.92,240.76
51.63,194.89
86.92,300.76
91.78,315.34
